run_id	plan	weight	engine	budget	sequence	grouping	status	split	metric	count	nrmse	bias
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	train	adap	0	nan	nan
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	train	mdap	0	nan	nan
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	train	laix	5	0.3934980598043878	0.26954921679140187
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	train	cwam	5	0.14730558878800865	0.14141231246748395
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	train	hwam	5	0.1827356895029821	0.011013454861081236
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	train	hwum	5	1.0033561874987271	-0.9981072022620989
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	adap	0	nan	nan
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	mdap	0	nan	nan
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	laix	1	0.8032786819403389	0.8032786819403389
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	cwam	1	0.12139645596370961	0.12139645596370961
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	hwam	1	0.02102659245503385	-0.02102659245503385
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	hwum	1	0.9981313126272064	-0.9981313126272064
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	all	adap	0	nan	nan
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	all	mdap	0	nan	nan
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	all	laix	6	0.4354585357450639	0.3234077734156769
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	all	cwam	6	0.14935755079776714	0.1396291322068665
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	all	hwam	6	0.1840790445454773	0.008429348097136727
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	all	hwum	6	1.0048773577265708	-0.998110631753688
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	train	adap	0	nan	nan
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	train	mdap	0	nan	nan
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	train	laix	5	0.3934980598043878	0.26954921679140187
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	train	cwam	5	0.14730558878800865	0.14141231246748395
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	train	hwam	5	0.1827356895029821	0.011013454861081236
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	train	hwum	5	1.0033561874987271	-0.9981072022620989
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	adap	0	nan	nan
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	mdap	0	nan	nan
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	laix	1	0.8032786819403389	0.8032786819403389
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	cwam	1	0.12139645596370961	0.12139645596370961
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	hwam	1	0.02102659245503385	-0.02102659245503385
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	valid	hwum	1	0.9981313126272064	-0.9981313126272064
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	all	adap	0	nan	nan
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	all	mdap	0	nan	nan
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	all	laix	6	0.4354585357450639	0.3234077734156769
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	all	cwam	6	0.14935755079776714	0.1396291322068665
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	all	hwam	6	0.1840790445454773	0.008429348097136727
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	all	hwum	6	1.0048773577265708	-0.998110631753688
