run_id	combo_key	executed_at	plan	weight	engine	budget	sequence	grouping	status	score	delta_vs_b0	delta_vs_b1	delta_vs_negative_ref	better_than_b0	train_mean_nrmse	valid_mean_nrmse	all_mean_nrmse	train_yield_nrmse	train_yield_bias	valid_yield_nrmse	valid_yield_bias	duration_sec	validation_enabled	train_trts	valid_trts	workspace_dir
W8_O1_G3_S1_Wheat_0_42610f	W8_O1_G3_S1	2026-04-06T07:00:20	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.028815746307373047	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S1_Wheat_1_cfb134	W8_O1_G3_S1	2026-04-06T07:00:20	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.018694400787353516	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S1_Wheat_2_52d4ec	W8_O1_G3_S1	2026-04-06T07:00:22	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.143233060836792	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S1_Wheat_3_058c42	W8_O1_G3_S1	2026-04-06T07:00:22	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.030986309051513672	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S2_Wheat_0_6b66ca	W8_O1_G3_S2	2026-04-06T07:00:22	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s2	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.012612581253051758	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S1_Wheat_4_b6ad62	W8_O1_G3_S1	2026-04-06T07:00:22	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.020088672637939453	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S2_Wheat_1_3b9f02	W8_O1_G3_S2	2026-04-06T07:00:23	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s2	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.024268627166748047	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S2_Wheat_2_4f3a38	W8_O1_G3_S2	2026-04-06T07:00:23	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s2	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.01750040054321289	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S2_Wheat_3_65c08e	W8_O1_G3_S2	2026-04-06T07:00:24	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s2	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.028402328491210938	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O1_G3_S2_Wheat_4_144b89	W8_O1_G3_S2	2026-04-06T07:00:24	BatchB	w8_dssat_group_max	o6_pestpp_glm	standard	g3	s2	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.03128933906555176	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O2_G3_S1_Wheat_0_b944f8	W8_O2_G3_S1	2026-04-06T07:00:24	BatchB	w8_dssat_group_max	o2_pestpp_ies	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.03446769714355469	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O2_G3_S1_Wheat_1_094817	W8_O2_G3_S1	2026-04-06T07:00:25	BatchB	w8_dssat_group_max	o2_pestpp_ies	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.028271913528442383	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O2_G3_S1_Wheat_2_7ca722	W8_O2_G3_S1	2026-04-06T07:00:25	BatchB	w8_dssat_group_max	o2_pestpp_ies	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.015261411666870117	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O2_G3_S1_Wheat_3_082c54	W8_O2_G3_S1	2026-04-06T07:00:25	BatchB	w8_dssat_group_max	o2_pestpp_ies	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.01995992660522461	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
W8_O2_G3_S1_Wheat_4_76bc15	W8_O2_G3_S1	2026-04-06T07:00:25	BatchB	w8_dssat_group_max	o2_pestpp_ies	standard	g3	s1	failed	999.0	0	0	0	False	999.0	999.0	999.0	999.0	999.0	999.0	999.0	0.028264999389648438	True	[2, 8, 9, 13, 14]	[1]	C:\DSSAT48\Wheat
