run_id	score_rank	combo_key	plan	weight	engine	budget	sequence	grouping	status	score	metric	split	trt	panel_key	series_key	point_key	x_observed	y_simulated	residual	abs_residual	relative_error	panel_count	panel_nrmse	panel_bias
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	valid	1	laix|valid	B0	B0_Wheat_0_d348f7|laix|t1	1.22	2.2	0.9800000000000002	0.9800000000000002	0.8032786819403389	1	0.8032786819403389	0.8032786819403389
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	2	laix|train	B0	B0_Wheat_0_d348f7|laix|t2	1.61	2.3	0.6899999999999997	0.6899999999999997	0.42857142590949404	5	0.3934980598043878	0.26954921679140187
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	8	laix|train	B0	B0_Wheat_0_d348f7|laix|t8	1.36	2.5	1.14	1.14	0.8382352879541523	5	0.3934980598043878	0.26954921679140187
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	9	laix|train	B0	B0_Wheat_0_d348f7|laix|t9	1.44	2.8	1.3599999999999999	1.3599999999999999	0.9444444378858025	5	0.3934980598043878	0.26954921679140187
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	13	laix|train	B0	B0_Wheat_0_d348f7|laix|t13	3.23	3.1	-0.1299999999999999	0.1299999999999999	0.040247677893970005	5	0.3934980598043878	0.26954921679140187
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	14	laix|train	B0	B0_Wheat_0_d348f7|laix|t14	3.23	3.1	-0.1299999999999999	0.1299999999999999	0.040247677893970005	5	0.3934980598043878	0.26954921679140187
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	valid	1	cwam|valid	B0	B0_Wheat_0_d348f7|cwam|t1	3781.0	4240.0	459.0	459.0	0.12139645596370961	1	0.12139645596370961	0.12139645596370961
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	2	cwam|train	B0	B0_Wheat_0_d348f7|cwam|t2	3957.0	5102.0	1145.0	1145.0	0.2893606267366961	5	0.14730558878800865	0.14141231246748395
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	8	cwam|train	B0	B0_Wheat_0_d348f7|cwam|t8	6121.0	7622.0	1501.0	1501.0	0.24522136905694294	5	0.14730558878800865	0.14141231246748395
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	9	cwam|train	B0	B0_Wheat_0_d348f7|cwam|t9	8494.0	9020.0	526.0	526.0	0.061926065457897424	5	0.14730558878800865	0.14141231246748395
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	13	cwam|train	B0	B0_Wheat_0_d348f7|cwam|t13	9946.0	11016.0	1070.0	1070.0	0.1075809370600165	5	0.14730558878800865	0.14141231246748395
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	14	cwam|train	B0	B0_Wheat_0_d348f7|cwam|t14	10142.0	11367.0	1225.0	1225.0	0.12078485505805482	5	0.14730558878800865	0.14141231246748395
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	valid	1	hwam|valid	B0	B0_Wheat_0_d348f7|hwam|t1	1617.0	1583.0	-34.0	34.0	0.02102659245503385	1	0.02102659245503385	-0.02102659245503385
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	2	hwam|train	B0	B0_Wheat_0_d348f7|hwam|t2	1578.0	2223.0	645.0	645.0	0.4087452471456987	5	0.1827356895029821	0.011013454861081236
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	8	hwam|train	B0	B0_Wheat_0_d348f7|hwam|t8	2754.0	2210.0	-544.0	544.0	0.19753086419681362	5	0.1827356895029821	0.011013454861081236
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	9	hwam|train	B0	B0_Wheat_0_d348f7|hwam|t9	3792.0	2858.0	-934.0	934.0	0.24630801687698758	5	0.1827356895029821	0.011013454861081236
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	13	hwam|train	B0	B0_Wheat_0_d348f7|hwam|t13	5425.0	5671.0	246.0	246.0	0.04534562211973208	5	0.1827356895029821	0.011013454861081236
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	14	hwam|train	B0	B0_Wheat_0_d348f7|hwam|t14	4883.0	5673.0	790.0	790.0	0.16178578742543154	5	0.1827356895029821	0.011013454861081236
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	valid	1	hwum|valid	B0	B0_Wheat_0_d348f7|hwum|t1	19.8	0.037	-19.763	19.763	0.9981313126272064	1	0.9981313126272064	-0.9981313126272064
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	2	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t2	19.5	0.047	-19.453	19.453	0.9975897430781591	5	1.0033561874987271	-0.9981072022620989
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	8	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t8	26.4	0.03	-26.369999999999997	26.369999999999997	0.9988636359852788	5	1.0033561874987271	-0.9981072022620989
