run_id	crop	combo_key	param_name	param_value	lower_bound	upper_bound	is_at_lower_bound	is_at_upper_bound	normalized_distance_to_b0
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S1_Wheat_0_42610f		W8_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S1_Wheat_1_cfb134		W8_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S1_Wheat_2_52d4ec		W8_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S1_Wheat_3_058c42		W8_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S2_Wheat_0_6b66ca		W8_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S1_Wheat_4_b6ad62		W8_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
