run_id	plan	weight	engine	budget	sequence	grouping	status	trt	split	metric	observed	simulated	error	abs_error	relative_error
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	1	valid	laix	1.22	2.2	0.9800000000000002	0.9800000000000002	0.8032786819403389
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	2	train	laix	1.61	2.3	0.6899999999999997	0.6899999999999997	0.42857142590949404
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	8	train	laix	1.36	2.5	1.14	1.14	0.8382352879541523
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	9	train	laix	1.44	2.8	1.3599999999999999	1.3599999999999999	0.9444444378858025
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	13	train	laix	3.23	3.1	-0.1299999999999999	0.1299999999999999	0.040247677893970005
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	14	train	laix	3.23	3.1	-0.1299999999999999	0.1299999999999999	0.040247677893970005
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	1	valid	cwam	3781.0	4240.0	459.0	459.0	0.12139645596370961
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	2	train	cwam	3957.0	5102.0	1145.0	1145.0	0.2893606267366961
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	8	train	cwam	6121.0	7622.0	1501.0	1501.0	0.24522136905694294
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	9	train	cwam	8494.0	9020.0	526.0	526.0	0.061926065457897424
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	13	train	cwam	9946.0	11016.0	1070.0	1070.0	0.1075809370600165
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	14	train	cwam	10142.0	11367.0	1225.0	1225.0	0.12078485505805482
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	1	valid	hwam	1617.0	1583.0	-34.0	34.0	0.02102659245503385
B0_Wheat_0_d348f7	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	2	train	hwam	1578.0	2223.0	645.0	645.0	0.4087452471456987
